id_commande,date_commande,id_client,ville,categorie,nom_produit,prix_unitaire,quantite,remise,cout_livraison,methode_paiement,canal_marketing,cout_marketing,statut_commande,chiffre_affaires,marge_brute,profit_net,mois,indicateur_retour,indicateur_annulation,nombre_commandes_par_client,valeur_vie_client
CMD100000,2025-12-11,C0379,Brazzaville,Mode,Produit_Mode_9,49.72,3,0.07,2.45,Mobile Money,Email,1.0,Livrée,138.72,62.42,58.97,2025-12,0,0,26,9144.9
CMD100001,2025-07-27,C1827,Libreville,Beauté,Produit_Beauté_3,37.18,2,0.1,6.89,Paiement à la livraison,Instagram Ads,8.04,Livrée,66.92,30.11,15.18,2025-07,0,0,4,562.87
CMD100002,2025-07-08,C0119,Abidjan,Électronique,Produit_Électronique_36,315.6,2,0.04,5.6,Carte,Google Ads,7.3,Livrée,605.95,272.68,259.78,2025-07,0,0,23,6511.17
CMD100003,2025-08-20,C1436,Libreville,Électronique,Produit_Électronique_29,143.25,2,0.03,5.96,Mobile Money,Google Ads,5.2,Livrée,277.9,125.05,113.89,2025-08,0,0,5,764.75
CMD100004,2025-11-28,C0003,Libreville,Électronique,Produit_Électronique_45,498.71,2,0.02,5.16,Mobile Money,Email,0.55,Livrée,977.47,439.86,434.15,2025-11,0,0,26,9516.06
CMD100005,2025-10-17,C0079,Dakar,Maison,Produit_Maison_7,71.17,3,0.1,8.63,Virement,Instagram Ads,5.45,Livrée,192.16,86.47,72.39,2025-10,0,0,18,4752.06
CMD100006,2025-07-24,C0183,Abidjan,Mode,Produit_Mode_3,23.04,3,0.1,3.59,Virement,Instagram Ads,9.23,Livrée,62.21,27.99,15.17,2025-07,0,0,18,3700.3
CMD100007,2025-10-26,C0193,Lomé,Beauté,Produit_Beauté_41,26.08,3,0.14,2.51,Virement,Instagram Ads,6.16,Livrée,67.29,30.28,21.61,2025-10,0,0,22,6024.37
CMD100008,2025-12-06,C0740,Abidjan,Mode,Produit_Mode_3,52.19,3,0.15,4.05,Carte,Email,1.77,Livrée,133.08,59.89,54.07,2025-12,0,0,3,694.15
CMD100009,2025-12-17,C0148,Dakar,Électronique,Produit_Électronique_7,562.75,2,0.08,9.26,Mobile Money,Instagram Ads,5.31,Livrée,1035.46,465.96,451.39,2025-12,0,0,21,4437.63
